,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,createdAtDate,token0.decimals,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.decimals,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.decimals,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,creator_address
12,13626269,1637061146,0x4b6454bbfd3c7e2efe18cf14d530be0109f9bc60,2.6736e-14,3.8e-17,7.6e-17,3.24241e-13,0.0,5,2.6736e-14,2021-11-16,18,0x9eae01af37dff104d6eecf739025d45aed93075a,PEWPEW,PEW,2.6736e-14,5,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x9eae01af37dff104d6eecf739025d45aed93075a,PEWPEW,PEW,2.6736e-14,5,
13,13625832,1637055094,0x37e35e6b6369ad5e837b868c2c39d2238ea9d395,237.3781668,84844382878.0,474.7563335,2055319.667,4472135.955,78,84844382878.0,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0xd481913be0e039bc7b40a339956399feb9254853,Metaverse,META,84844382878.0,78,18,0xd481913be0e039bc7b40a339956399feb9254853,Metaverse,META,84844382878.0,78,
14,13625764,1637054194,0xec1dfa11b795ec2e6678bf365101aa0ce0f1a7b7,0.020205083,1e-18,2e-18,8.37035e-15,0.0,17,0.020205083,2021-11-16,9,0xb3057c7b258a2f3ea71c537bc0c54fe0443ce01c,GM Fren,GMFREN,0.020205083,17,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xb3057c7b258a2f3ea71c537bc0c54fe0443ce01c,GM Fren,GMFREN,0.020205083,17,
15,13625658,1637052918,0x2966eaadeec6123040a330ea8604af77872f8895,355633267.6,16.92250643,33.84501286,144441.06,2.449489743,28,355633267.6,2021-11-16,9,0x3b3a7e4ad2f847d153e8066f1b367db7fd2b0779,SupDucks NFT,SDSN,355633267.6,28,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x3b3a7e4ad2f847d153e8066f1b367db7fd2b0779,SupDucks NFT,SDSN,355633267.6,28,
16,13625427,1637049505,0x9c95804814e997f13b6e0b67ffd31c384232fb91,8e-09,1.38744e-13,2.77488e-13,1.19369e-09,0.0,27,8e-09,2021-11-16,9,0xb5189795041224e4327f2c0927672ef0e442ea92,StillShib,STSB,8e-09,27,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xb5189795041224e4327f2c0927672ef0e442ea92,StillShib,STSB,8e-09,27,
17,13625358,1637048613,0x9a51c25f665749779d364eb67301b5facd13692c,17912.47704,3.532576061,7.065152122,29746.90402,250.0,48,17912.47704,2021-11-16,18,0x4e8766e535492315acb508e1b355498a2a800ec3,0x Token,0x,17912.47704,48,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x4e8766e535492315acb508e1b355498a2a800ec3,0x Token,0x,17912.47704,48,
18,13625345,1637048453,0x6e1b3903ec92db301614d085e7250725683f93ab,7e-06,1.65788e-13,3.31576e-13,1.39716e-09,0.0,8,7e-06,2021-11-16,6,0x95ea86aa70bbb3ef497b19e6bc41fa63ed8869e5,Lightning Network,LN,7e-06,8,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,6,0x95ea86aa70bbb3ef497b19e6bc41fa63ed8869e5,Lightning Network,LN,7e-06,8,
19,13625343,1637048422,0xe0a79a01b2313098293c237be19e095af535aca0,26857918462.0,0.072548945,0.072548945,312.0473505,0.435667338,11,26857918462.0,2021-11-16,8,0x257e0f4b56bcd4156eb82cf2a14bd94dc66e0718,SEXY Fomo,SEXYFOMO,26857918462.0,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,8,0x257e0f4b56bcd4156eb82cf2a14bd94dc66e0718,SEXY Fomo,SEXYFOMO,26857918462.0,11,
20,13625309,1637047949,0x0e20b955b96423bb169a9578b9efa9b9d9cbf621,7598420000000000.0,0.03043,0.06086,261.7708887,477.2153141,4,7598420000000000.0,2021-11-16,9,0x9e6e547f74b5ed8dda66c421ac3a1a4711afe6e6,Kakashi-Inu,KAKASHI,7598420000000000.0,4,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x9e6e547f74b5ed8dda66c421ac3a1a4711afe6e6,Kakashi-Inu,KAKASHI,7598420000000000.0,4,
21,13625250,1637047125,0xbef17366a7098a985c37a7be526f7d93979091b5,332353000000000.0,4.51871012,9.03742024,38347.52968,38729833.46,15,332353000000000.0,2021-11-16,18,0x4014ec024f9ef3ac3aae0a5556a0999937d8318a, Exodia Inu,EXODIA  ,332353000000000.0,15,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x4014ec024f9ef3ac3aae0a5556a0999937d8318a, Exodia Inu,EXODIA  ,332353000000000.0,15,
22,13625240,1637047035,0x72ba3afce14de004dbe54f207087bbf4df02910a,16844189574.0,300.1807133,600.3614267,2599090.439,2236067.977,81,16844189574.0,2021-11-16,18,0x49931fa8df30e05e46be2c1a524b8e4fe484df67,ShibArmy Inu,SHIBARMY,16844189574.0,81,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x49931fa8df30e05e46be2c1a524b8e4fe484df67,ShibArmy Inu,SHIBARMY,16844189574.0,81,
23,13625192,1637046445,0xfc5159cd604b77b30ada612c2765cb9b103afb96,318318000000.0,16.22097394,32.44194788,139828.8742,70.71067812,161,318318000000.0,2021-11-16,9,0xbe65b068f3ce5e9761b4c310f341bfa2c7a9fd87,HELLO KITTY INU,HELLOKITTY,318318000000.0,161,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xbe65b068f3ce5e9761b4c310f341bfa2c7a9fd87,HELLO KITTY INU,HELLOKITTY,318318000000.0,161,
24,13624953,1637043342,0xf4baba9bdb9a47f60124d388e9bbc5c900364f27,4.999e-05,2.04e-16,4.08e-16,1.7604e-12,0.0,9,4.999e-05,2021-11-16,8,0x0ce1e8e85e60dd3baefabd9c05ee7ce383bb2ede,Fuck Fomo,FFT,4.999e-05,9,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,8,0x0ce1e8e85e60dd3baefabd9c05ee7ce383bb2ede,Fuck Fomo,FFT,4.999e-05,9,
25,13624936,1637043063,0x3a108269e788e24ac1f2fcf004f99c2945a482f2,583638000000000.0,1.2,1.2,5192.572843,26457513.11,3,583638000000000.0,2021-11-16,18,0x31f427a5f5e3dc134bea26b69e7f0cbdfd5f293a,PapaBezos,PapaBZ,583638000000000.0,3,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0x31f427a5f5e3dc134bea26b69e7f0cbdfd5f293a,PapaBezos,PapaBZ,583638000000000.0,3,
26,13624796,1637040755,0xc46f65060ed75a54dccce79e14acc82150181f7f,47.30738537,78112777326.0,94.61477074,409875.8819,1839965.733,1022,78112777326.0,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,18,0xff7e285b87e7f9247f0953cf8cf5cb24eede4b9c,STIMMY,STIMMY,78112777326.0,1022,18,0xff7e285b87e7f9247f0953cf8cf5cb24eede4b9c,STIMMY,STIMMY,78112777326.0,1022,
27,13624781,1637040618,0x0cee4be3d767c2067a21e2c9129b1f9bc7b9913f,1184041037.0,7.719641902,15.4392838,66729.28509,2.98298396,211,1184041037.0,2021-11-16,9,0x95891eccb1afda92f7b1f1c2c4141b6f5a027de3,Epi's Degen Play I,EPI1,1184041037.0,211,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0x95891eccb1afda92f7b1f1c2c4141b6f5a027de3,Epi's Degen Play I,EPI1,1184041037.0,211,
28,13624742,1637040057,0xfe5d0efe31d5515c1dcf93bb01e1118ebecd810c,2.480283334,732870659.3,4.960566668,21374.89294,1.341640786,91,732870659.3,2021-11-16,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,9,0xdc042da2745151cc5f3410aca8fe53e83d463271,Based Dev,BD,732870659.3,91,9,0xdc042da2745151cc5f3410aca8fe53e83d463271,Based Dev,BD,732870659.3,91,
29,13624639,1637038785,0x3ee5a2915de4e16ab0a59900516e75b61dbf605f,4.313e-05,2.38e-16,4.76e-16,2.06677e-12,0.0,19,4.313e-05,2021-11-16,8,0xb0eaf344d81c96eb85c64180ad99dadfb6bf0145,BOSS BABY INU,$BBT,4.313e-05,19,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,554087.5412,60974600,8,0xb0eaf344d81c96eb85c64180ad99dadfb6bf0145,BOSS BABY INU,$BBT,4.313e-05,19,
